"ID","Game","Where it appears","Type","English","Portuguese","Your feedback","Suggested Portuguese"
"HUB-001","Hub","Page title and search description","Landing page","Impostor Dance Game | Impostor Word Game | Impostor Artist","Jogo do Impostor: Dança, Palavras e Desenho | Grátis","",""
"HUB-002","Hub","Page title and search description","Landing page","Free multiplayer online impostor party games for 3–20 friends. Play the Impostor Dance Game (the viral Imposter Dance Challenge — everyone dances to the same song except the impostor), the Impostor Word Game (everyone gets the same secret word except the impostor) and Impostor Artist (everyone draws the same word on a shared online canvas except the impostor). No app, no sign-up — play in your browser.","Jogos de festa do impostor, online, grátis e para 3 a 20 amigos. Jogue o Jogo do Impostor da Dança (todo mundo põe o fone de ouvido e dança a mesma música, menos o impostor, que escuta outra completamente diferente), o Jogo do Impostor das Palavras (todo mundo vê a mesma palavra secreta, menos o impostor) e o Jogo do Impostor do Desenho (todo mundo desenha a mesma palavra num quadro compartilhado, menos o impostor). Sem app e sem cadastro, direto no navegador.","",""
"HUB-003","Hub","Page title and search description","Landing page","Impostor Games — Dance & Word party games","Impostor Games | Jogos de festa do impostor","",""
"HUB-004","Hub","Page title and search description","Landing page","Free multiplayer impostor party games for 3–20 friends: the viral Imposter Dance Challenge, the Impostor Word Game and Impostor Artist. Play in your browser — no app, no sign-up.","Jogos de festa do impostor, grátis e para 3 a 20 amigos: o Impostor da Dança, o Impostor das Palavras e o Impostor do Desenho. Jogue no navegador, sem app e sem cadastro.","",""
"HUB-005","Hub","Page title and search description","Landing page","Impostor Games — Dance & Word party games","Impostor Games | Jogos de festa do impostor","",""
"HUB-006","Hub","Page title and search description","Landing page","Free multiplayer impostor party games for 3–20 friends: the viral Imposter Dance Challenge, the Impostor Word Game and Impostor Artist. Play in your browser — no app, no sign-up.","Jogos de festa do impostor, grátis e para 3 a 20 amigos: o Impostor da Dança, o Impostor das Palavras e o Impostor do Desenho. Jogue no navegador, sem app e sem cadastro.","",""
"HUB-007","Hub","Home screen","Landing page","Impostor Games","Impostor Games","",""
"HUB-008","Hub","Home screen","Landing page","Party games for up to 20. No app, no account. Play in your browser.","Jogos de festa para até 20. Sem app, sem cadastro. No navegador.","",""
"HUB-009","Hub","Home screen","Landing page","Impostor Dance Game","Impostor da Dança","",""
"HUB-010","Hub","Home screen","Landing page","Everyone dances to the same song, except the impostor.","Todo mundo dança a mesma música, menos o impostor.","",""
"HUB-011","Hub","Home screen","Landing page","Play","Jogar","",""
"HUB-012","Hub","Home screen","Landing page","Impostor Artist","Impostor do Desenho","",""
"HUB-013","Hub","Home screen","Landing page","Everyone draws the same word, except the impostor.","Todo mundo desenha a mesma palavra, menos o impostor.","",""
"HUB-014","Hub","Home screen","Landing page","Play","Jogar","",""
"HUB-015","Hub","Home screen","Landing page","Impostor Word Game","Impostor das Palavras","",""
"HUB-016","Hub","Home screen","Landing page","Everyone describes the same word, except the impostor.","Todo mundo descreve a mesma palavra, menos o impostor.","",""
"HUB-017","Hub","Home screen","Landing page","Play","Jogar","",""
"HUB-018","Hub","Home screen","Landing page","About the games","Sobre os jogos","",""
"HUB-019","Hub","Home screen","Landing page","Impostor Games · free browser party games","Impostor Games · jogos de festa grátis no navegador","",""
"HUB-020","Hub","Home screen","Landing page","Impostor Dance Game","Impostor da Dança","",""
"HUB-021","Hub","Home screen","Landing page","Impostor Word Game","Impostor das Palavras","",""
"HUB-022","Hub","Home screen","Landing page","Impostor Artist","Impostor do Desenho","",""
"HUB-023","Hub","How to play","Landing page","What is the Imposter Dance Challenge?","O que é o Jogo do Impostor da Dança?","",""
"HUB-024","Hub","How to play","Landing page","The Imposter Dance Challenge (also called the Imposter Dance Game) is a party game where every player wears headphones and dances to the same song — except one secret impostor, who hears a completely different track. The group watches the dance-off and tries to spot the impostor by their off-vibe moves. You can play it free online right here — no app, no sign-up, 3–20 players, works on any phone browser.","O Jogo do Impostor da Dança é aquele desafio do impostor que aparece no TikTok: todo mundo põe o fone de ouvido e dança a mesma música, menos um impostor secreto, que escuta outra completamente diferente. O grupo assiste e tenta descobrir quem é pelo jeito fora do ritmo. Dá para jogar grátis aqui mesmo, sem app e sem cadastro, de 3 a 20 jogadores, no navegador de qualquer celular.","",""
"HUB-025","Hub","How to play","Landing page","Play the Impostor Dance Game →","Jogar o Impostor da Dança →","",""
"HUB-026","Hub","How to play","Landing page","What is the Impostor Word Game?","O que é o Jogo do Impostor das Palavras?","",""
"HUB-027","Hub","How to play","Landing page","The Impostor Word Game (also known as Undercover) deals everyone the same secret word — except the impostor, who only sees a vague hint. Players take turns saying one clue word each; the group tries to expose the impostor while the impostor bluffs and tries to guess the word. Free in your browser, no downloads.","O Jogo do Impostor das Palavras (também conhecido como Undercover) dá a mesma palavra secreta para todo mundo, menos para o impostor, que vê só uma pista vaga. Na sua vez, cada jogador diz uma palavra que descreva a palavra secreta; o grupo tenta pegar o impostor enquanto o impostor disfarça e tenta adivinhar. Grátis e no navegador, sem baixar nada.","",""
"HUB-028","Hub","How to play","Landing page","Play the Impostor Word Game →","Jogar o Impostor das Palavras →","",""
"HUB-029","Hub","How to play","Landing page","What is Impostor Artist?","O que é o Jogo do Impostor do Desenho?","",""
"HUB-030","Hub","How to play","Landing page","Impostor Artist (also called Fake Artist) gives everyone the same secret word to draw — except the impostor, who only sees a vague hint. Players take turns adding to one shared canvas, each in their own colour, then everyone votes on who was faking it. Draw enough to prove you know the word, but not so much that the impostor guesses it. Free in your browser, no downloads.","O Jogo do Impostor do Desenho (também conhecido como Fake Artist) dá a mesma palavra secreta para todo mundo desenhar, menos para o impostor, que vê só uma pista vaga. Na sua vez, cada jogador acrescenta um pedaço ao mesmo desenho, cada um com a sua cor, e no fim todo mundo vota em quem estava fingindo. Desenhe o suficiente para provar que sabe a palavra, mas não tanto a ponto de entregar a palavra para o impostor. Grátis e no navegador, sem baixar nada.","",""
"HUB-031","Hub","How to play","Landing page","Play Impostor Artist →","Jogar o Impostor do Desenho →","",""
"HUB-032","Hub","Frequently asked questions","Landing page","FAQ","Perguntas frequentes","",""
"HUB-033","Hub","Frequently asked questions","Landing page","Is there an app to download?","Precisa baixar algum app?","",""
"HUB-034","Hub","Frequently asked questions","Landing page","No download needed — all three games run right in your phone's browser. Open the page, share a room code (or QR code), and play. Works on iPhone and Android instantly.","Não precisa baixar nada. Os três jogos rodam no navegador do celular: você abre a página, manda o código da sala e a galera entra. Funciona na hora no iPhone e no Android.","",""
"HUB-035","Hub","Frequently asked questions","Landing page","Are the games free?","Os jogos são grátis?","",""
"HUB-036","Hub","Frequently asked questions","Landing page","Yes, completely free. No sign-up, no app, no payment. Open the page in any phone browser and share a room code with your friends.","Sim, totalmente grátis. Sem cadastro, sem app e sem pagar nada. Abra a página no navegador de qualquer celular e mande o código da sala para a galera.","",""
"HUB-037","Hub","Frequently asked questions","Landing page","How many players do I need?","Quantos jogadores precisa?","",""
"HUB-038","Hub","Frequently asked questions","Landing page","At least 3 players, up to 20, for all three games. One person creates the room and becomes the host; everyone else joins with the 4-character room code or by scanning the QR code.","De 3 a 20 jogadores. Uma pessoa cria a sala e vira o anfitrião; o resto entra com o código de 4 caracteres ou lendo o QR code.","",""
"HUB-039","Hub","Frequently asked questions","Landing page","What is the Impostor Dance Game?","O que é o Jogo do Impostor da Dança?","",""
"HUB-040","Hub","Frequently asked questions","Landing page","It's a free online party game for 3 to 20 players. When a round starts, everyone hears the same song on their phone except one secret impostor, who hears a completely different track. Everyone dances to what they're hearing, and the group spots the impostor by whose moves don't match the song's vibe. Play it at impostorgames.com/dance.","É um jogo de festa online e grátis para 3 a 20 jogadores. Todo mundo põe o fone de ouvido e dança a mesma música, menos o impostor, que escuta outra completamente diferente. O grupo descobre quem é pelo jeito fora do ritmo. Joga em impostorgames.com/pt/dance.","",""
"HUB-041","Hub","Frequently asked questions","Landing page","What is the Impostor Word Game?","O que é o Jogo do Impostor das Palavras?","",""
"HUB-042","Hub","Frequently asked questions","Landing page","A free party game also known as Undercover or the Imposter Word Game. Everyone secretly sees the same word, except the impostor, who only sees a vague hint. Players take turns saying one clue word each; the group tries to expose the impostor while the impostor tries to guess the secret word. Play it at impostorgames.com/word.","É um jogo de festa online e grátis para 3 a 20 jogadores, também conhecido como Undercover. Todo mundo vê em segredo a mesma palavra, menos o impostor, que vê só uma pista vaga. Cada um diz uma palavra na sua vez; o grupo tenta pegar o impostor e o impostor tenta adivinhar a palavra. Joga em impostorgames.com/pt/word.","",""
"HUB-043","Hub","Frequently asked questions","Landing page","What is Impostor Artist?","O que é o Jogo do Impostor do Desenho?","",""
"HUB-044","Hub","Frequently asked questions","Landing page","A free online drawing party game, sometimes called Fake Artist. Everyone secretly gets the same word to draw — except the impostor, who only sees a vague hint. Players take turns adding to one shared canvas, then everyone votes on who was faking it. Play it at impostorgames.com/draw.","É um jogo de desenho online e grátis, às vezes chamado de Fake Artist. Todo mundo recebe em segredo a mesma palavra para desenhar, menos o impostor, que vê só uma pista vaga. Na sua vez, cada jogador acrescenta um pedaço ao mesmo desenho, e no fim todo mundo vota em quem estava fingindo. Joga em impostorgames.com/pt/draw.","",""
"HUB-045","Hub","Frequently asked questions","Landing page","What's the difference between the games?","Qual é a diferença entre os três jogos?","",""
"HUB-046","Hub","Frequently asked questions","Landing page","Same idea, different senses. In the Dance Game the impostor hears a different song and has to dance along; you need headphones. In the Word Game the impostor doesn't know the secret word and has to bluff through spoken clues; no headphones needed. In Impostor Artist the impostor only gets a hint and has to fake a line on a shared canvas; nothing needed but phones.","A mesma ideia, com sentidos diferentes. No Impostor da Dança o impostor escuta outra música e tem que dançar como se fosse a mesma; precisa de fone de ouvido, um para cada jogador. No Impostor das Palavras o impostor não sabe a palavra secreta e disfarça com pistas faladas; não precisa de fone. No Impostor do Desenho o impostor recebe só uma pista e tem que fingir um traço num quadro compartilhado; não precisa de mais nada além dos celulares.","",""
"HUB-047","Hub","Frequently asked questions","Landing page","Can I play on one device?","Dá para jogar com um celular só?","",""
"HUB-048","Hub","Frequently asked questions","Landing page","Yes, in the Impostor Word Game and Impostor Artist. Pick Pass the Phone in the lobby and one phone goes round the group: each player swipes their card over, sees their word or their impostor hint in private, and hands it on. If everyone has a phone, the default mode gives each player their own screen. The Impostor Dance Game has no such mode, because there every player needs their own phone and their own headphones.","Dá, no Impostor das Palavras e no Impostor do Desenho. Escolha Passar o celular na sala e um celular só vai passando pelo grupo: cada jogador desliza a carta dele, vê sua palavra ou sua pista em segredo e passa adiante. Se cada um tiver o seu celular, o modo padrão dá uma tela para cada jogador. O Impostor da Dança não tem esse modo: ali cada jogador precisa do próprio celular e do próprio fone de ouvido.","",""
"HUB-049","Hub","Frequently asked questions","English only","Is this the Imposter Dance Challenge from TikTok?","","",""
"HUB-050","Hub","Frequently asked questions","English only","Yes — the Impostor Dance Game is the online version of the viral Imposter Dance Challenge. Everyone puts on headphones and dances to the same song, except one secret impostor hearing a different tune. Play it at impostorgames.com/dance.","","",""
"HUB-051","Hub","Frequently asked questions","English only","Where can I play the Imposter Dance Challenge online?","","",""
"HUB-052","Hub","Frequently asked questions","English only","At impostorgames.com/dance. It's a free browser version of the viral Imposter Dance Challenge: one player creates a room, shares the 4-character code or QR code, and 3 to 20 friends join from their own phones. No app, no account, no cost.","","",""
"HUB-053","Hub","Frequently asked questions","English only","Is there a free alternative to the ""Who is the Impostor"" app?","","",""
"HUB-054","Hub","Frequently asked questions","English only","Yes. ""Who is the Impostor?"" is the viral dance party game where everyone dances to the same song except one impostor hearing a different tune in their headphones, then players vote to catch them. The Impostor Dance Game is a free browser version of the same idea: no app to download, no sign-up, no ads. Open the page, share a room code, and play with 3–20 friends on their own phones.","","",""
"HUB-055","Hub","Frequently asked questions","Portuguese only","","Dá para jogar por chamada de vídeo?","",""
"HUB-056","Hub","Frequently asked questions","Portuguese only","","Dá, os três funcionam. O Impostor do Desenho é o mais direto, porque o quadro e a votação acontecem dentro do próprio jogo. No Impostor das Palavras as pistas e as acusações são faladas, então a chamada dá conta sozinha. No Impostor da Dança o grupo precisa ver todo mundo dançando, então cada um tem que aparecer na câmera e estar de fone de ouvido.","",""
"HUB-057","Hub","Frequently asked questions","Portuguese only","","Tem algum jogo tipo Among Us para jogar sem instalar nada?","",""
"HUB-058","Hub","Frequently asked questions","Portuguese only","","Tem, e são estes três. É a mesma graça de descobrir quem está mentindo, só que em poucos minutos e sem instalar nada: você abre a página, manda o código da sala e de 3 a 20 amigos entram, cada um pelo seu celular. Comece pelo Impostor das Palavras, que é o mais parecido com esses apps.","",""
"HUB-059","Hub","Screen reader labels","Landing page","Four cute characters wearing headphones, dancing together","Quatro personagens de desenho de fone de ouvido, dançando juntos","",""
"HUB-060","Hub","Screen reader labels","Landing page","Cute characters drawing on an easel together","Personagens simpáticos desenhando juntos num cavalete","",""
"HUB-061","Hub","Screen reader labels","Landing page","Four cute characters at a table holding cards","Quatro personagens de desenho numa mesa, cada um com cartas na mão","",""
"DAN-001","Dance","Home screen","In-game","← All games","← Impostor Games","",""
"DAN-002","Dance","Home screen","In-game","Impostor
Dance Game","Impostor
da Dança","",""
"DAN-003","Dance","Home screen","In-game","Impostor Dance Game logo, a cute character wearing headphones","Logo do Impostor da Dança, um personagem fofo de fone de ouvido","",""
"DAN-004","Dance","Home screen","In-game","Create or Join the game","Crie uma sala ou entre em uma partida","",""
"DAN-005","Dance","Home screen","In-game","Create","Criar","",""
"DAN-006","Dance","Home screen","In-game","Create and be the host","Crie a sala e seja o anfitrião","",""
"DAN-007","Dance","Home screen","In-game","Join","Entrar","",""
"DAN-008","Dance","Home screen","In-game","Join an existing game","Entre em uma partida que já existe","",""
"DAN-009","Dance","Home screen","In-game","Back to all games","Voltar para Impostor Games","",""
"DAN-010","Dance","Home screen","In-game","Jump to How to Play","Ir para Como jogar","",""
"DAN-011","Dance","Home screen","In-game","How to play","Como jogar","",""
"DAN-012","Dance","Creating or joining a room","In-game","← Back","← Voltar","",""
"DAN-013","Dance","Creating or joining a room","In-game","Room Code","Código da sala","",""
"DAN-014","Dance","Creating or joining a room","In-game","Enter room code to join game","Digite o código para entrar na sala","",""
"DAN-015","Dance","Creating or joining a room","In-game","Name","Nome","",""
"DAN-016","Dance","Creating or joining a room","In-game","Enter room","Entrar na sala","",""
"DAN-017","Dance","Creating or joining a room","In-game","Create Room","Criar sala","",""
"DAN-018","Dance","Creating or joining a room","In-game","← Leave","← Sair","",""
"DAN-019","Dance","Creating or joining a room","In-game","Room Created! 🎉","Sala criada! 🎉","",""
"DAN-020","Dance","Creating or joining a room","In-game","Players can scan or enter the code to join.","Os outros podem escanear o QR ou digitar o código para entrar.","",""
"DAN-021","Dance","Creating or joining a room","In-game","Scan code","Escaneie o código","",""
"DAN-022","Dance","Creating or joining a room","In-game","or enter code","ou digite o código","",""
"DAN-023","Dance","Creating or joining a room","In-game","Copy code","Copiar código","",""
"DAN-024","Dance","Creating or joining a room","In-game","Go to Lobby","Ir para a sala","",""
"DAN-025","Dance","Creating or joining a room","In-game","Scan to join this room","Escaneie para entrar na sala","",""
"DAN-026","Dance","Creating or joining a room","In-game","Enter Nick Name","Digite seu nome","",""
"DAN-027","Dance","Creating or joining a room","In-game","Copy room code","Copiar o código da sala","",""
"DAN-028","Dance","Creating or joining a room","In-game","Room QR code","Código QR da sala","",""
"DAN-029","Dance","Creating or joining a room","In-game","That code is a room in {game}. Taking you there…","Esse código é de uma sala do {game}. Levando você para lá…","",""
"DAN-030","Dance","The lobby","In-game","← Leave Room","← Sair da sala","",""
"DAN-031","Dance","The lobby","In-game","How to play","Como jogar","",""
"DAN-032","Dance","The lobby","In-game","Lobby","Sala","",""
"DAN-033","Dance","The lobby","In-game","Imposter Challenge","Desafio do Impostor","",""
"DAN-034","Dance","The lobby","In-game","Music","Música","",""
"DAN-035","Dance","The lobby","In-game","TikTok and Reels","TikTok e Reels","",""
"DAN-036","Dance","The lobby","In-game","Songs","Músicas","",""
"DAN-037","Dance","The lobby","In-game","Pick the group song…","Escolha a música do grupo…","",""
"DAN-038","Dance","The lobby","In-game","Impostor song (optional)","Música do impostor (opcional)","",""
"DAN-039","Dance","The lobby","In-game","Impostors","Impostores","",""
"DAN-040","Dance","The lobby","In-game","1 Impostor","1 Impostor","",""
"DAN-041","Dance","The lobby","In-game","Players","Jogadores","",""
"DAN-042","Dance","The lobby","In-game","0 / 0 ready","0 / 0 prontos","",""
"DAN-043","Dance","The lobby","In-game","I'm Ready","Estou pronto","",""
"DAN-044","Dance","The lobby","In-game","Start Game","Começar","",""
"DAN-045","Dance","The lobby","In-game","Waiting for all players to ready up…","Esperando todo mundo ficar pronto…","",""
"DAN-046","Dance","The lobby","In-game","Show QR code","Ver o código QR","",""
"DAN-047","Dance","The lobby","In-game","Clear impostor song","Tirar a música do impostor","",""
"DAN-048","Dance","The lobby","In-game","Fewer impostors","Menos impostores","",""
"DAN-049","Dance","The lobby","In-game","More impostors","Mais impostores","",""
"DAN-050","Dance","The lobby","In-game","Game Mode","Modo de jogo","",""
"DAN-051","Dance","The lobby","In-game","Host","Anfitrião","",""
"DAN-052","Dance","The lobby","In-game","Player","Jogador","",""
"DAN-053","Dance","The lobby","In-game","{name} (YOU)","{name} (VOCÊ)","",""
"DAN-054","Dance","The lobby","In-game","Impostor","Impostor","",""
"DAN-055","Dance","The lobby","In-game","Impostors","Impostores","",""
"DAN-056","Dance","The lobby","In-game","Keep your screen on to stay in the game.","Deixe a tela ligada para não sair da partida.","",""
"DAN-057","Dance","The lobby","In-game","Loading songs…","Carregando as músicas…","",""
"DAN-058","Dance","The lobby","In-game","Still loading songs…","Ainda carregando as músicas…","",""
"DAN-059","Dance","The lobby","In-game","The music service is slow right now, hang on…","O serviço de música está lento agora, só um instante…","",""
"DAN-060","Dance","The lobby","In-game","Finding an impostor song with a different vibe…","Procurando para o impostor uma música com outra pegada…","",""
"DAN-061","Dance","The lobby","In-game","Still listening for a contrast…","Ainda procurando o contraste…","",""
"DAN-062","Dance","The lobby","In-game","← Quit Game","← Sair da partida","",""
"DAN-063","Dance","The lobby","In-game","← Leave Room","← Sair da sala","",""
"DAN-064","Dance","The lobby","In-game","Need {count} more player to start.","Falta {count} jogador para começar.","",""
"DAN-065","Dance","The lobby","In-game","Need {count} more players to start.","Faltam {count} jogadores para começar.","",""
"DAN-066","Dance","The lobby","In-game","Need {count} more dancer to start.","Falta {count} dançarino para começar.","",""
"DAN-067","Dance","The lobby","In-game","Need {count} more dancers to start.","Faltam {count} dançarinos para começar.","",""
"DAN-068","Dance","The lobby","In-game","Need {count} more player. Share the code!","Falta {count} jogador. Compartilhe o código!","",""
"DAN-069","Dance","The lobby","In-game","Need {count} more players. Share the code!","Faltam {count} jogadores. Compartilhe o código!","",""
"DAN-070","Dance","The lobby","In-game","Need {count} more dancer. Share the code!","Falta {count} dançarino. Compartilhe o código!","",""
"DAN-071","Dance","The lobby","In-game","Need {count} more dancers. Share the code!","Faltam {count} dançarinos. Compartilhe o código!","",""
"DAN-072","Dance","The lobby","In-game","Waiting for everyone to ready up…","Esperando todo mundo ficar pronto…","",""
"DAN-073","Dance","The lobby","In-game","Waiting for host to start…","Esperando o anfitrião começar…","",""
"DAN-074","Dance","The lobby","In-game","Waiting for {count} more player to ready up…","Esperando mais {count} jogador ficar pronto…","",""
"DAN-075","Dance","The lobby","In-game","Waiting for {count} more players to ready up…","Esperando mais {count} jogadores ficarem prontos…","",""
"DAN-076","Dance","The lobby","In-game","Pick the group song to start.","Escolha a música do grupo para começar.","",""
"DAN-077","Dance","The lobby","In-game","Everyone is ready. Hit start!","Todo mundo pronto. Bora começar!","",""
"DAN-078","Dance","The lobby","In-game","I'm Ready","Estou pronto","",""
"DAN-079","Dance","The lobby","In-game","I'm Not Ready","Não estou pronto","",""
"DAN-080","Dance","The lobby","In-game","✓ Ready","✓ Pronto","",""
"DAN-081","Dance","The lobby","In-game","Waiting","Esperando","",""
"DAN-082","Dance","The lobby","In-game","Host","Anfitrião","",""
"DAN-083","Dance","The lobby","In-game","DJ","DJ","",""
"DAN-084","Dance","The lobby","In-game","YOU","VOCÊ","",""
"DAN-085","Dance","The lobby","In-game","Host's Choice","O anfitrião escolhe","",""
"DAN-086","Dance","The lobby","In-game","Pick the group song…","Escolha a música do grupo…","",""
"DAN-087","Dance","The lobby","In-game","Impostor song (optional)","Música do impostor (opcional)","",""
"DAN-088","Dance","The lobby","In-game","🎵 {title} — {artist}","🎵 {title} — {artist}","",""
"DAN-089","Dance","Choosing a game mode","In-game","Pick a game mode","Escolha o modo de jogo","",""
"DAN-090","Dance","Choosing a game mode","In-game","Imposter Challenge","Desafio do Impostor","",""
"DAN-091","Dance","Choosing a game mode","In-game","One player hears a different song. Dance and catch the imposter.","Um jogador escuta outra música. Dancem e descubram quem é.","",""
"DAN-092","Dance","Choosing a game mode","In-game","DJ Mode","Modo DJ","",""
