"ID","Category","Word","Hint 1","Hint 2","Easy hint","Your feedback","Suggested word or hint"
"FOO-001","Comida","Feijoada","Sábado","Fumegante","Botequim","",""
"FOO-002","Comida","Pão de queijo","Bolinha","Forno","Padaria","",""
"FOO-003","Comida","Brigadeiro","Granulado","Festa","Aniversário","",""
"FOO-004","Comida","Coxinha","Fritura","Recheio","Lanchonete","",""
"FOO-005","Comida","Açaí","Polpa","Tigela","Academia","",""
"FOO-006","Comida","Farofa","Crocante","Punhado","Churrasqueira","",""
"FOO-007","Comida","Tapioca","Frigideira","Dobra","Barraquinha","",""
"FOO-008","Comida","Vatapá","Creme","Colher","Tabuleiro","",""
"FOO-009","Comida","Acarajé","Pimenta","Fritura","Tabuleiro","",""
"FOO-010","Comida","Moqueca","Panela","Coentro","Litoral","",""
"FOO-011","Comida","Churrasco","Espeto","Domingo","Quintal","",""
"FOO-012","Comida","Picanha","Gordura","Fatia","Rodízio","",""
"FOO-013","Comida","Pastel","Bolha","Retângulo","Feira","",""
"FOO-014","Comida","Empada","Forminha","Tampinha","Casamento","",""
"FOO-015","Comida","Esfiha","Triângulo","Bandeja","Entrega","",""
"FOO-016","Comida","Cuscuz","Vapor","Flocos","Manhã","",""
"FOO-017","Comida","Escondidinho","Camadas","Gratinar","Jantar","",""
"FOO-018","Comida","Strogonoff","Molho","Palha","Segunda","",""
"FOO-019","Comida","Lasanha","Andares","Assadeira","Almoço","",""
"FOO-020","Comida","Pizza","Rodela","Borda","Sexta","",""
"FOO-021","Comida","Hambúrguer","Empilhar","Guardanapo","Lanchonete","",""
"FOO-022","Comida","Cachorro-quente","Salsicha","Mostarda","Carrinho","",""
"FOO-023","Comida","Torrada","Manteiga","Estalo","Café","",""
"FOO-024","Comida","Requeijão","Pote","Espalhar","Bisnaga","",""
"FOO-025","Comida","Doce de leite","Caramelo","Colherada","Sobremesa","",""
"FOO-026","Comida","Beijinho","Cravo","Confeito","Festinha","",""
"FOO-027","Comida","Quindim","Gema","Brilhante","Confeitaria","",""
"FOO-028","Comida","Pudim","Calda","Tremer","Forma","",""
"FOO-029","Comida","Bolo de cenoura","Cobertura","Ralar","Lanche","",""
"FOO-030","Comida","Paçoca","Farelo","Fogueira","Festa junina","",""
"FOO-031","Comida","Pé de moleque","Quebrar","Grude","Junho","",""
"FOO-032","Comida","Cocada","Melado","Ralar","Ambulante","",""
"FOO-033","Comida","Goiabada","Barra","Cortar","Queijo","",""
"FOO-034","Comida","Rapadura","Bloco","Cana","Feirinha","",""
"FOO-035","Comida","Canjica","Fogueira","Canela","Panelão","",""
"FOO-036","Comida","Pamonha","Palha","Barbante","Espiga","",""
"FOO-037","Comida","Pipoca","Estouro","Sal","Cinema","",""
"FOO-038","Comida","Mandioca","Raiz","Casca","Palito","",""
"FOO-039","Comida","Batata frita","Palito","Óleo","Sachê","",""
"FOO-040","Comida","Arroz","Grão","Colher","Almoço","",""
"FOO-041","Comida","Feijão","Caldo","Concha","Prato fundo","",""
"FOO-042","Comida","Macarrão","Fio","Escorredor","Garfo","",""
"FOO-043","Comida","Frango assado","Osso","Barbante","Domingo","",""
"FOO-044","Comida","Carne de sol","Varal","Fibra","Sertão","",""
"FOO-045","Comida","Linguiça","Tripa","Rodela","Feira","",""
"FOO-046","Comida","Costela","Brasa","Paciência","Churrasqueira","",""
"FOO-047","Comida","Bife","Chapa","Ponto","Prato feito","",""
"FOO-048","Comida","Ovo frito","Estalo","Frigideira","Manhã","",""
"FOO-049","Comida","Omelete","Dobra","Batedor","Pressa","",""
"FOO-050","Comida","Salada","Folhas","Vinagre","Verão","",""
"FOO-051","Comida","Sopa","Fumaça","Concha","Inverno","",""
"FOO-052","Comida","Sanduíche","Camadas","Mordida","Viagem","",""
"FOO-053","Comida","Torta","Massa","Forma","Chá","",""
"FOO-054","Comida","Sonho","Açúcar","Creme","Confeitaria","",""
"FOO-055","Comida","Churros","Canudo","Canela","Calçadão","",""
"FOO-056","Comida","Sorvete","Casquinha","Derreter","Calor","",""
"FOO-057","Comida","Picolé","Palito","Gelo","Verão","",""
"FOO-058","Comida","Vitamina","Liquidificador","Espuma","Copo","",""
"FOO-059","Comida","Suco de laranja","Espremer","Polpa","Manhã","",""
"FOO-060","Comida","Guaraná","Gás","Latinha","Aniversário","",""
"FOO-061","Comida","Caipirinha","Socar","Gelo","Boteco","",""
"FOO-062","Comida","Cerveja","Espuma","Tulipa","Sexta","",""
"FOO-063","Comida","Cafezinho","Coador","Xícara","Expediente","",""
"FOO-064","Comida","Chimarrão","Cuia","Bomba","Roda","",""
"FOO-065","Comida","Leite condensado","Lata","Colher","Receita","",""
"FOO-066","Comida","Queijo coalho","Grelha","Espetinho","Barraca","",""
"FOO-067","Comida","Mortadela","Fatias","Mercadão","Lanche","",""
"FOO-068","Comida","Pão francês","Miolo","Sacola","Padaria","",""
"FOO-069","Comida","Geleia","Pote","Fruta","Manhã","",""
"FOO-070","Comida","Mel","Escorrer","Garganta","Colmeia","",""
"FOO-071","Comida","Chocolate","Barra","Tablete","Páscoa","",""
"FOO-072","Comida","Banana","Casca","Curva","Lancheira","",""
"FOO-073","Comida","Manga","Caroço","Fiapo","Quintal","",""
"FOO-074","Comida","Abacaxi","Coroa","Espinhos","Rodela","",""
